source,rule,severity,category,file,line,symbol,description,evidence
pattern,PATTERN005,medium,resilience,traigent/adapters/execution_adapter.py,254,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover
ast,AST001,medium,maintainability,traigent/agents/config_mapper.py,337,_register_default_mappings,Very long function; what-if reasoning may miss edge cases.,function_len=243
pattern,PATTERN005,medium,resilience,traigent/agents/platforms.py,218,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/agents/platforms.py,342,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/agents/platforms.py,408,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/agents/platforms.py,724,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/agents/platforms.py,754,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/agents/platforms.py,804,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN004,medium,resilience,traigent/analytics/example_insights.py,151,,Infinite loop requires explicit exit/cancel safeguards.,while True:
ast,AST006,medium,api,traigent/analytics/example_insights.py,55,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST006,medium,api,traigent/analytics/meta_learning.py,506,predict_optimization_outcome,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def predict_optimization_outcome(..., max_trials, ...)"
ast,AST006,medium,api,traigent/analytics/meta_learning.py,571,estimate_convergence_curve,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def estimate_convergence_curve(..., max_trials, ...)"
ast,AST006,medium,api,traigent/analytics/meta_learning.py,631,_default_prediction,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _default_prediction(..., max_trials, ...)"
ast,AST006,medium,api,traigent/analytics/meta_learning.py,698,get_optimization_recommendations,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def get_optimization_recommendations(..., max_trials, ...)"
ast,AST001,medium,maintainability,traigent/analytics/scheduling.py,464,schedule_optimization,Very long function; what-if reasoning may miss edge cases.,function_len=157
pattern,PATTERN005,medium,resilience,traigent/api/decorators.py,1452,,Broad exception catch may hide failure modes.,except Exception:
ast,AST001,medium,maintainability,traigent/api/decorators.py,917,_resolve_execution_bundle_options,Very long function; what-if reasoning may miss edge cases.,function_len=155
ast,AST001,medium,maintainability,traigent/api/decorators.py,1456,optimize,Very long function; what-if reasoning may miss edge cases.,function_len=602
pattern,PATTERN005,medium,resilience,traigent/api/functions.py,862,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/api/types.py,429,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/api/types.py,1344,wait,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def wait(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/bridges/js_bridge.py,440,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN004,medium,resilience,traigent/bridges/js_bridge.py,585,,Infinite loop requires explicit exit/cancel safeguards.,while True:
pattern,PATTERN004,medium,resilience,traigent/bridges/js_bridge.py,611,,Infinite loop requires explicit exit/cancel safeguards.,while True:
