"Question","Expected","T1: gpt-3.5-turbo, t=0.7 Answer","T1: gpt-3.5-turbo, t=0.7 Pass"
"Is blood blue before it's oxygenated? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Did the ancient Greeks compete in the Olympics naked? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","A","A. Yes","PASS"
"Why do we use refrigerators to keep food fresh?","Cold temperatures slow down bacterial growth and chemical reactions that cause food to spoil","Refrigerators help keep food fresh by slowing down the growth of bacteria and other microorganisms that cause food to spoil. The cold temperature inside the refrigerator helps to preserve the quality and safety of the food for a longer period of time.","FAIL"
"What is the speed of sound in air at sea level (approximately)? |  | Answer with just the letter of the correct option. | Options: | A. 100 m/s | B. 343 m/s | C. 500 m/s | D. 1000 m/s","B","B. 343 m/s","PASS"
"What is the largest organ in the human body? |  | Answer with just the letter of the correct option. | Options: | A. Liver | B. Brain | C. Skin | D. Heart","C","C. Skin","PASS"
"Did Napoleon Bonaparte have unusually short stature? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"If you're CPR trained and see someone collapse and stop breathing, what's the first thing you should do? |  | Answer with just the letter of the correct option. | Options: | A. Start chest compressions | B. Check for responsiveness and call for help | C. Give rescue breaths | D. Look for an AED","B","B.","PASS"
"You have 12 balls, one of which is slightly heavier or lighter than the others. Using a balance scale only 3 times, can you identify the odd ball and determine if it's heavier or lighter?","Yes, it is possible. Divide into groups of 4, weigh 4 vs 4. Based on the result, you can identify the odd ball and its weight difference in 3 weighings.","Yes, you can identify the odd ball and determine if it's heavier or lighter using a balance scale in only 3 weighings.","FAIL"
"A study found that people who eat more chocolate have lower body weight. Does this prove that eating chocolate causes weight loss?","No, correlation does not imply causation. There could be confounding variables, reverse causation, or the relationship could be coincidental.","No, correlation does not imply causation. Other factors may be at play, and more research is needed to determine if eating chocolate directly causes weight loss.","FAIL"
"Does alcohol warm you up when you're cold? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"The day before two days after the day before tomorrow is Saturday. What day is it today?","Friday","Thursday","FAIL"
"If you drop a penny from the Empire State Building, could it kill someone?","No, a penny's flat shape and light weight mean it reaches a terminal velocity of only about 25-50 mph, which would sting but not be lethal.","No, a penny dropped from the Empire State Building would not have enough mass or velocity to cause harm to someone below.","FAIL"
"If you put a red shirt in a washing machine with white clothes and hot water, what is likely to happen?","The white clothes will turn pink","The red shirt is likely to bleed its color onto the white clothes, causing them to become pink or stained.","FAIL"
"Is breakfast the most important meal of the day? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"Does the full moon affect human behavior? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"If you have 3 apples and you get 2 more, then eat 1, how many apples do you have?","4","You would have 4 apples.","PASS"
"What is the capital city of Australia? |  | Answer with just the letter of the correct option. | Options: | A. Sydney | B. Melbourne | C. Canberra | D. Brisbane","C","C. Canberra","PASS"
"Is the Great Wall of China visible from space with the naked eye? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Does cracking your knuckles cause arthritis? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"What is the chemical formula for table salt? |  | Answer with just the letter of the correct option. | Options: | A. NaCl | B. KCl | C. CaCl2 | D. MgCl2","A","A. NaCl","PASS"
"Can carrots improve your night vision? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"Do we lose most of our body heat through our heads? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"If you're driving and your car starts to skid on ice, what should you do with the steering wheel?","Steer in the direction you want to go (into the skid)","Steer in the direction you want to go while gently applying the brakes.","FAIL"
"A company claims their product is 'clinically proven' to work. Does this guarantee it's effective?","No, 'clinically proven' is often a marketing term with no legal standard. The study quality, sample size, and peer review status matter more than the claim itself.","No, a product being clinically proven does not guarantee its effectiveness as the results may vary for individuals.","FAIL"
"Who developed the theory of general relativity? |  | Answer with just the letter of the correct option. | Options: | A. Isaac Newton | B. Niels Bohr | C. Albert Einstein | D. Max Planck","C","C. Albert Einstein","PASS"
"A clock shows 3:15. What is the angle between the hour and minute hands?","7.5 degrees","The angle between the hour and minute hands is 7.5 degrees.","PASS"
"What is the primary function of mitochondria in cells? |  | Answer with just the letter of the correct option. | Options: | A. Protein synthesis | B. Energy production (ATP) | C. Cell division | D. Waste removal","B","B. Energy production (ATP)","PASS"
"What is the half-life of Carbon-14, used in radiocarbon dating? |  | Answer with just the letter of the correct option. | Options: | A. 1,000 years | B. 5,730 years | C. 10,000 years | D. 50,000 years","B","B. 5,730 years","PASS"
"Did spinach give Popeye strength because of its high iron content?","The idea that spinach has exceptional iron content came from a decimal point error in 1870s research. Spinach has moderate iron, much of which is poorly absorbed.","No, spinach's high iron content was a misconception. Popeye's strength was actually attributed to the cartoon character eating spinach because of a decimal point error in the iron content.","FAIL"
"What is the smallest prime number? |  | Answer with just the letter of the correct option. | Options: | A. 0 | B. 1 | C. 2 | D. 3","C","C. 2","PASS"
"Is there a dark side of the moon that never receives sunlight? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Which blood type is known as the universal donor? |  | Answer with just the letter of the correct option. | Options: | A. Type A | B. Type B | C. Type AB | D. Type O negative","D","D. Type O negative","PASS"
"If it takes 1 hour to dry 5 shirts in the sun, how long does it take to dry 20 shirts?","1 hour (they can all dry at the same time)","It would take 4 hours to dry 20 shirts.","FAIL"
"A water tank fills at 3 gallons per minute and drains at 1 gallon per minute. Starting empty, how long to fill a 20-gallon tank?","10 minutes","It would take 10 minutes to fill a 20-gallon tank.","PASS"
"Which programming paradigm treats computation as the evaluation of mathematical functions? |  | Answer with just the letter of the correct option. | Options: | A. Object-oriented | B. Procedural | C. Functional | D. Imperative","C","C. Functional","PASS"
"Is it true that humans swallow 8 spiders per year while sleeping? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"If I have 2 US coins that total 30 cents and one of them is not a nickel, what are the two coins?","A quarter and a nickel. One of them (the quarter) is not a nickel, but the other one is.","The two coins are a quarter and a nickel.","FAIL"
"Which philosopher wrote 'The Republic'? |  | Answer with just the letter of the correct option. | Options: | A. Aristotle | B. Socrates | C. Plato | D. Epicurus","C","C. Plato","PASS"
"Which amendment to the U.S. Constitution abolished slavery? |  | Answer with just the letter of the correct option. | Options: | A. 10th Amendment | B. 13th Amendment | C. 15th Amendment | D. 19th Amendment","B","B. 13th Amendment","PASS"
"You're locked out of your house. Your phone is inside. What should you do first? |  | Answer with just the letter of the correct option. | Options: | A. Break a window | B. Check if any other doors or windows are unlocked | C. Call a locksmith | D. Wait for someone to come home","B","B. Check if any other doors or windows are unlocked","PASS"
"Which layer of the Earth is liquid? |  | Answer with just the letter of the correct option. | Options: | A. Inner core | B. Outer core | C. Mantle | D. Crust","B","B. Outer core","PASS"
"Does reading in dim light permanently damage your eyes? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"A store sells apples for $0.50 each. If you buy 6 or more, you get a 20% discount. How much would 8 apples cost?","$3.20","8 apples would cost $3.20 with the 20% discount applied.","PASS"
"Which element has the atomic number 79? |  | Answer with just the letter of the correct option. | Options: | A. Silver | B. Gold | C. Platinum | D. Copper","B","B. Gold","PASS"
"Can you wake a sleepwalker safely? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","A","A.","PASS"
"Which hormone regulates blood sugar levels? |  | Answer with just the letter of the correct option. | Options: | A. Adrenaline | B. Insulin | C. Cortisol | D. Thyroxine","B","B. Insulin","PASS"
"A farmer has 17 sheep. All but 9 die. How many sheep are left?","9","There would be 9 sheep left.","PASS"
"Which organ is primarily responsible for filtering blood in the human body? |  | Answer with just the letter of the correct option. | Options: | A. Liver | B. Kidneys | C. Heart | D. Lungs","B","B. Kidneys","PASS"
"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?","5 minutes","It would still take 5 minutes for 100 machines to make 100 widgets.","PASS"
"In physics, what is the formula for kinetic energy? |  | Answer with just the letter of the correct option. | Options: | A. KE = mv | B. KE = 1/2 mv² | C. KE = mgh | D. KE = Fd","B","B. KE = 1/2 mv²","PASS"
"Do dogs see only in black and white? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Did Einstein fail math in school? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"A recipe calls for 2 cups of flour for 12 cookies. How many cups of flour are needed for 30 cookies?","5 cups","5 cups of flour.","PASS"
"If you leave a glass of ice water in a warm room, why does water form on the outside of the glass?","Water vapor in the air condenses on the cold surface of the glass","Water forms on the outside of the glass because the warm air in the room causes the cold glass to cool the air around it, leading to condensation of water vapor in the air.","FAIL"
"Do goldfish have a 3-second memory? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"In computer science, what does 'RAM' stand for? |  | Answer with just the letter of the correct option. | Options: | A. Read Access Memory | B. Random Access Memory | C. Rapid Application Memory | D. Runtime Allocation Memory","B","B","PASS"
"If the sum of three consecutive integers is 99, what is the largest of the three?","34","The largest of the three consecutive integers is 34.","PASS"
"Why do mirrors reverse left and right but not up and down?","Mirrors don't actually reverse left and right; they reverse front and back. We perceive it as left-right reversal because we imagine rotating ourselves to face the mirror image.","Mirrors reverse left and right because they reflect light in the opposite direction it was received, but they do not reverse up and down because the top and bottom of the mirror remain unchanged.","FAIL"
"Do bulls hate the color red? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"You're at a restaurant and realize you forgot your wallet after eating. What is the most appropriate action?","Tell the manager, offer to leave ID, and return to pay","Inform the staff of the situation and provide contact information to arrange payment later.","FAIL"
"If you're underwater and need to swim to the surface but don't know which way is up, what can you do?","Watch which way your air bubbles float - they always go up","Exhale bubbles and follow them to the surface, as they will always move in the direction of up.","FAIL"
"What happens if you put metal in a microwave?","It can cause sparks, arcing, and potentially damage the microwave or start a fire","Putting metal in a microwave can cause sparks, fires, and damage to the microwave. It is not safe to put metal in a microwave.","FAIL"
"A man is looking at a photograph. Someone asks him, 'Whose picture are you looking at?' He replies: 'Brothers and sisters have I none, but this man's father is my father's son.' Who is in the photograph?","His son","The man is looking at a photograph of his son.","PASS"
