"Query","Expected","T1: gpt-3.5-turbo, k=3, chunk=500 Answer","T1: gpt-3.5-turbo, k=3, chunk=500 Pass","T2: gpt-4o, k=5, chunk=800 Answer","T2: gpt-4o, k=5, chunk=800 Pass","T3: gpt-4o, k=3, chunk=800 Answer","T3: gpt-4o, k=3, chunk=800 Pass","T4: gpt-3.5-turbo, k=3, chunk=300 Answer","T4: gpt-3.5-turbo, k=3, chunk=300 Pass","T5: gpt-3.5-turbo, k=3, chunk=800 Answer","T5: gpt-3.5-turbo, k=3, chunk=800 Pass","T6: gpt-3.5-turbo, k=2, chunk=500 Answer","T6: gpt-3.5-turbo, k=2, chunk=500 Pass","T7: gpt-4o, k=3, chunk=800 Answer","T7: gpt-4o, k=3, chunk=800 Pass","T8: gpt-4o-mini, k=3, chunk=300 Answer","T8: gpt-4o-mini, k=3, chunk=300 Pass","T9: gpt-4o, k=2, chunk=500 Answer","T9: gpt-4o, k=2, chunk=500 Pass","T10: gpt-4o, k=3, chunk=500 Answer","T10: gpt-4o, k=3, chunk=500 Pass"
"If I return an item I paid for with a gift card, how do I get my money back?","Refunded back to a gift card","If you return an item purchased with a gift card, the refund will be issued back to the gift card. You can check your gift card balance by visiting giftcards.example.com or calling 1-800-SUPPORT.","PASS","N/A","","If you return an item purchased with a gift card, the refund will be issued back to the gift card. Gift card balances cannot be converted to cash, except where required by law.","PASS","If you return an item purchased with a gift card, the refund will be issued back to the gift card. Please note that gift card balances cannot be converted to cash, except where required by law.","PASS","If you return an item purchased with a gift card, the refund will be issued back to the gift card. We cannot provide cash refunds for gift card purchases, except where required by law.","PASS","N/A","","If you return an item purchased with a gift card, the refund will be issued back to the gift card. You can check your gift card balance online or by calling customer support.","PASS","If you return an item purchased with a gift card, the refund will be issued back to the gift card. Please note that gift card balances cannot be converted to cash except where required by law.","PASS","If you return an item purchased with a gift card, the refund will be issued back to the gift card. You can check your gift card balance by visiting giftcards.example.com or calling 1-800-SUPPORT.","PASS","N/A",""
"I ordered at 3pm on a weekday - when will it ship and how long until it arrives with standard shipping?","Ships next business day, then 5-7 business days for delivery","Since you placed your order after 2pm EST on a weekday, it will ship the next business day. With standard shipping (5-7 business days), you can expect your order to arrive within 5-7 business days from the date it ships.","PASS","N/A","","Since you placed your order after 2pm EST on a weekday, it will ship the next business day. With standard shipping (5-7 business days), you can expect your order to arrive within 5-7 business days after it ships.","PASS","Since you placed your order after 2pm EST on a weekday, it will ship the next business day. With standard shipping (5-7 business days), you can expect your order to arrive within 5-7 business days from the day it ships.","PASS","Since you placed your order after 2pm EST on a weekday, it will ship the next business day. With standard shipping (5-7 business days), you can expect your order to arrive within 5-7 business days from the day it ships.","PASS","N/A","","Since you placed your order after 2:00 PM EST on a weekday, it will ship the next business day. With standard shipping (5-7 business days), you can expect your order to arrive within 5-7 business days from the day it ships.","PASS","Since you placed your order after 2pm EST on a weekday, it will ship the next business day. With standard shipping (5-7 business days), you can expect your order to arrive within 5-7 business days from the day it ships.","PASS","Since you placed your order after 2pm EST on a weekday, it will ship the next business day. With standard shipping (5-7 business days), you can expect your order to arrive within 5-7 business days from the date it ships.","PASS","N/A",""
"I want to buy a physical gift card for someone in Canada - can I ship it there and how much will it cost?","Yes, physical cards ship free domestically, international shipping rates calculated at checkout","Yes, you can ship a physical gift card to Canada for free with beautiful packaging. The shipping cost is included in the purchase of the gift card.","FAIL","N/A","","Yes, you can ship a physical gift card to Canada for free with beautiful packaging. The shipping cost is included in the purchase of the gift card.","FAIL","Yes, you can ship a physical gift card to Canada. Shipping is free for physical cards and the cost is included in the purchase price.","FAIL","Yes, you can ship a physical gift card to Canada. Shipping is free for physical gift cards and they come with beautiful packaging. International shipping rates are calculated at checkout based on destination and package weight. Please note that customers are responsible for any customs duties or import taxes.","PASS","N/A","","Yes, you can ship a physical gift card to Canada. Shipping is free for physical gift cards, and international shipping rates are calculated at checkout based on destination and package weight. Customers are responsible for any customs duties or import taxes.","PASS","Yes, you can ship a physical gift card to Canada. Shipping is free for physical gift cards, and international shipping rates are calculated at checkout based on destination and package weight. Customers are responsible for any customs duties or import taxes.","PASS","Yes, you can ship a physical gift card to Canada. Shipping is free for physical cards, and international shipping rates are calculated at checkout based on destination and package weight. Customers are responsible for any customs duties or import taxes.","PASS","N/A",""
"If I order at 1pm on Saturday and choose overnight shipping, when will it arrive?","Weekend orders ship Monday, overnight delivery means it arrives Tuesday","If you place an order at 1pm on Saturday with overnight shipping, it will be processed on Monday and delivered on Tuesday. Overnight shipping orders placed on weekends are shipped the next business day.","PASS","N/A","","If you place an order at 1pm on Saturday and choose overnight shipping, it will be processed on Monday and delivered on Tuesday. Overnight shipping orders must be placed by 12pm EST for next-day delivery.","PASS","If you place an order at 1pm on Saturday with overnight shipping, it will be processed on the next business day, which is Monday. Therefore, your order will be delivered on Tuesday.","PASS","If you place an order at 1pm on Saturday with overnight shipping, it will be processed on Monday and delivered on Tuesday. Overnight shipping is not available on weekends, so the order will ship the next business day.","PASS","N/A","","If you place an order at 1pm on Saturday with overnight shipping, it will be processed on Monday and delivered on Tuesday. Overnight shipping orders must be placed by 12pm EST for next-day delivery.","PASS","If you place an order at 1pm on Saturday with overnight shipping, it will be processed on the next business day (Monday) and delivered the following business day (Tuesday).","PASS","If you place an order at 1pm on Saturday with overnight shipping, it will be processed on Monday and delivered on Tuesday. Overnight shipping orders must be placed by 12pm EST for next-day delivery.","PASS","N/A",""
"I paid with PayPal and returned an item - when will I see the refund?","5-7 business days after inspection, refund issued to original payment method","Once we receive your return, please allow 5-7 business days for inspection and processing. Refunds for PayPal payments are issued to the original payment method. Please note that PayPal refunds may take an additional 3-5 business days to appear in your account. Thank you for your patience.","PASS","N/A","","Once we receive your return, please allow 5-7 business days for inspection and processing. Refunds for PayPal payments are issued to the original payment method. Please note that it may take an additional 3-5 business days for the refund to appear in your PayPal account. Thank you for your patience.","PASS","Once we receive your return, please allow 5-7 business days for inspection and processing. Refunds for PayPal payments are issued to the original payment method. Please note that PayPal refunds may take an additional 3-5 business days to appear in your account. Thank you for your patience.","PASS","Once we receive your return, please allow 5-7 business days for inspection and processing. Refunds for PayPal payments are issued to the original payment method. Please note that it may take an additional 3-5 business days for the refund to appear in your PayPal account. Thank you for your patience.","PASS","N/A","","Once we receive your return, please allow 5-7 business days for inspection and processing. Refunds for PayPal payments are issued to the original payment method, and may take an additional 3-5 business days to appear in your PayPal account.","PASS","Once we receive your return, please allow 5-7 business days for inspection and processing. Refunds for PayPal payments are issued to the original payment method. Please note that credit card refunds may take an additional 3-5 business days to appear on your statement.","PASS","Once we receive your return, please allow 5-7 business days for inspection and processing. Refunds for PayPal payments are issued back to your PayPal account. Please note that it may take an additional 3-5 business days for the refund to appear in your PayPal account. Thank you for your patience.","PASS","N/A",""
"I want to buy a $100 gift card and pay with Afterpay - is that possible?","Yes, Afterpay is available for orders over $35, split into 4 interest-free payments","I'm sorry, but Afterpay is only available for purchases at checkout, not for buying gift cards directly. You can use Afterpay for orders over $35, subject to approval.","PASS","N/A","","I'm sorry, but Afterpay is only available for purchases at checkout, not for buying gift cards. You can use Afterpay for orders over $35, subject to approval. If you have any other questions or need assistance, feel free to ask.","PASS","I'm sorry, but Afterpay is only available for purchases at checkout, not for buying gift cards directly. You can use Afterpay for orders over $35, subject to approval.","PASS","I'm sorry, but Afterpay is only available for purchases at checkout, not for buying gift cards. You can still purchase a $100 gift card using other payment methods listed on our website.","FAIL","N/A","","I'm sorry, but Afterpay is only available for buy now, pay later options at checkout for orders over $35. Gift cards are not eligible for Afterpay payments.","PASS","I'm sorry, but Afterpay is only available for purchases at checkout, not for buying gift cards directly. You can use Afterpay for orders over $35 subject to approval.","PASS","I'm sorry, but Afterpay is only available for purchases at checkout, not for buying gift cards directly. You can use Afterpay for orders over $35, subject to approval.","PASS","N/A",""
"My swimwear arrived defective - can I return it even though it's usually non-returnable?","Yes, defective items can be returned regardless of category - contact support within 48 hours with photos","Yes, you can return your defective swimwear for a replacement or full refund, even though swimwear is usually non-returnable. Please contact support within 48 hours of delivery with photos of the damage to initiate the return process.","PASS","N/A","","Yes, you can return your defective swimwear for a replacement or refund. Defective items are eligible for free return shipping, even if they are typically non-returnable. Just contact support within 48 hours of delivery with photos of the damage to initiate the return process.","PASS","Yes, you can return your defective swimwear for a replacement or full refund, even though swimwear is usually non-returnable. Just contact support within 48 hours of delivery with photos of the damage to initiate the return process.","PASS","Yes, you can return your defective swimwear for a replacement or refund. Defective items are eligible for free return shipping, even if they are usually non-returnable. Just contact support within 48 hours of delivery with photos of the damage to initiate the return process.","PASS","N/A","","Yes, you can return your defective swimwear for a replacement or refund, even though swimwear is usually non-returnable. Please contact support within 48 hours of delivery with photos of the damage to initiate the return process.","PASS","Yes, you can return your defective swimwear for free as it falls under the category of defective items, which are eligible for free return shipping. Contact support within 48 hours of delivery with photos of the damage to initiate the return process.","PASS","Yes, you can return your defective swimwear for a replacement or refund with free return shipping. Contact support within 48 hours of delivery with photos of the damage to initiate the return process.","PASS","N/A",""
"Can I use multiple gift cards plus Apple Pay on the same order?","Yes, gift cards are stackable and can be combined with digital wallet payments like Apple Pay","Yes, you can use multiple gift cards on the same order and also use Apple Pay as a payment method. Each gift card can be applied at checkout, and any remaining balance will stay on the card for future purchases.","PASS","N/A","","Yes, you can use multiple gift cards on the same order as well as Apple Pay. Each gift card can be entered at checkout, and any remaining balance will stay on the card for future purchases. Apple Pay is also an accepted payment method for added convenience and security.","PASS","Yes, you can use multiple gift cards on the same order and also use Apple Pay as a payment method. Each gift card can be applied at checkout, and any remaining balance will stay on the card for future purchases.","PASS","Yes, you can use multiple gift cards on the same order and also use Apple Pay as a payment method. Each gift card can be applied at checkout, and any remaining balance will stay on the card for future purchases.","PASS","N/A","","Yes, you can use multiple gift cards on the same order and also use Apple Pay as a payment method. Each gift card can be applied at checkout, and any remaining balance will stay on the card for future purchases.","PASS","Yes, you can use multiple gift cards on the same order and also use Apple Pay as a payment method.","PASS","Yes, you can use multiple gift cards on the same order and also use Apple Pay as a payment method. Each gift card can be entered at checkout, and any remaining balance will stay on the card for future purchases.","PASS","N/A",""
"I bought something with Affirm and want to return it - how does the refund work?","Refund goes to original payment method (Affirm), processing takes 5-7 business days","If you purchased an item using Affirm and want to return it, you can initiate the return following the steps outlined in the ""How to Initiate a Return"" section. Once we receive your return, please allow 5-7 business days for processing. Refunds will be issued to the original payment method, which in this case would be Affirm. Credit card refunds may take an additional 3-5 business days to appear on your statement.","PASS","N/A","","If you purchased an item using Affirm and want to return it, the refund will be issued to the original payment method. Please allow 5-7 business days for processing after we receive your return. Credit card refunds may take an additional 3-5 business days to appear on your statement.","PASS","If you purchased an item using Affirm and want to return it, you can initiate the return following the steps outlined in the ""How to Initiate a Return"" section. Once we receive your return, please allow 5-7 business days for processing. Refunds will be issued to the original payment method, which in this case would be Affirm. Please note that credit card refunds may take an additional 3-5 business days to appear on your statement.","PASS","If you bought something using Affirm and want to return it, you can initiate the return following the steps outlined in the ""How to Initiate a Return"" section. Once we receive your return, refunds are issued to the original payment method. If you used Affirm, the refund will be processed back to your Affirm account. Please allow 5-7 business days for inspection and processing, and an additional 3-5 business days for the refund to appear on your Affirm account.","PASS","N/A","","If you purchased an item using Affirm and want to return it, you can follow our return process outlined in the knowledge base. Once we receive your return, refunds are issued to the original payment method. Please allow 5-7 business days for inspection and processing, with credit card refunds potentially taking an additional 3-5 business days to appear on your statement.","PASS","If you purchased an item with Affirm and want to return it, you can initiate the return following the steps outlined in the ""How to Initiate a Return"" section. Once we receive your return, refunds are issued to the original payment method. Please allow 5-7 business days for inspection and processing, with credit card refunds potentially taking an additional 3-5 business days to appear on your statement.","PASS","If you purchased something using Affirm and want to return it, you can initiate the return following the steps outlined in the ""How to Initiate a Return"" section. Once we receive your return, refunds are issued to the original payment method. Please allow 5-7 business days for processing, and credit card refunds may take an additional 3-5 business days to appear on your statement.","PASS","N/A",""
"I lost my physical gift card - can I get a replacement and use the balance online?","Report to support with proof of purchase, balance can be transferred to new card and used online","If you have lost your physical gift card, you can report it to customer support to freeze the card and transfer the balance to a new card with proof of purchase. However, physical cards cannot be replaced without the original receipt. Once you have a new card, you can use the balance online or in-store.","PASS","N/A","","If you have lost your physical gift card, you can report it to customer support to freeze the card and transfer the balance to a new card with proof of purchase. However, physical cards cannot be replaced without the original receipt. Once you have a new card, you can use the balance online or in-store.","PASS","If you have lost your physical gift card, please report it to customer support immediately. With proof of purchase, we can freeze the card and transfer the balance to a new card. Physical cards cannot be replaced without the original receipt. Once you have the new card, you can use the balance online or in-store.","PASS","If you have lost your physical gift card, you can report it to customer support to freeze the card and transfer the balance to a new card with proof of purchase. Physical cards cannot be replaced without the original receipt. Once you have a new card, you can use the balance online or in-store.","PASS","N/A","","If you have lost your physical gift card, please report it to customer support immediately. With proof of purchase, we can freeze the card and transfer the balance to a new card. Physical cards cannot be replaced without the original receipt. Once you have the new card, you can use the balance online or in-store.","PASS","If you have lost your physical gift card, you can report it to customer support to freeze the card and transfer the balance to a new card with proof of purchase. However, physical cards cannot be replaced without the original receipt. Once you have a new card, you can use the balance online or in-store.","PASS","If you have lost your physical gift card, you can report it to customer support to freeze the card and transfer the balance to a new card with proof of purchase. However, physical cards cannot be replaced without the original receipt. Once you have a new card, you can use the balance online or in-store.","PASS","N/A",""
