question_id,question,expected,actual,pass,score,source,category,trial_id,model,temperature,max_tokens,latency_ms,input_tokens,output_tokens,total_cost
example_0,What is the capital of France?,Paris,Paris.,True,1.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,1.1096694469451904,21,2,3.55e-05
example_1,What is 2 + 2?,4,4,True,1.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,0.6118254661560059,22,1,3.5000000000000004e-05
example_2,Who wrote Romeo and Juliet?,William Shakespeare,William Shakespeare.,True,1.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,0.6142828464508057,20,3,3.6e-05
example_3,What is the largest planet in our solar system?,Jupiter,Jupiter,True,1.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,0.5115580558776855,24,2,4e-05
example_4,What year did World War II end?,1945,World War II ended in 1945.,True,1.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,1.0244874954223633,22,9,5.1000000000000006e-05
example_5,What is the chemical symbol for water?,H2O,H2O,True,1.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,1.0245168209075928,22,3,3.9e-05
example_6,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci.,True,1.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,0.6148037910461426,20,5,3.9999999999999996e-05
example_7,What is the speed of light?,"299,792,458 meters per second","The speed of light is approximately 299,792 kilometers per second in a vacuum.",True,0.0,unknown,unknown,1,gpt-3.5-turbo,0.3,200,0.4089338779449463,21,17,6.549999999999999e-05
example_0,What is the capital of France?,Paris,The capital of France is Paris.,True,1.0,unknown,unknown,2,gpt-4o-mini,0.5,200,0.608471155166626,21,7,7.349999999999999e-06
example_1,What is 2 + 2?,4,4,True,1.0,unknown,unknown,2,gpt-4o-mini,0.5,200,2.867626905441284,22,1,3.9e-06
example_2,Who wrote Romeo and Juliet?,William Shakespeare,William Shakespeare.,True,1.0,unknown,unknown,2,gpt-4o-mini,0.5,200,0.5116984844207764,20,3,4.8e-06
example_3,What is the largest planet in our solar system?,Jupiter,Jupiter is the largest planet in our solar system.,True,1.0,unknown,unknown,2,gpt-4o-mini,0.5,200,1.1268641948699951,24,11,1.0199999999999999e-05
example_4,What year did World War II end?,1945,World War II ended in 1945.,True,1.0,unknown,unknown,2,gpt-4o-mini,0.5,200,0.6148033142089844,22,9,8.7e-06
example_5,What is the chemical symbol for water?,H2O,H2O,True,1.0,unknown,unknown,2,gpt-4o-mini,0.5,200,0.6136090755462646,22,3,5.0999999999999995e-06
example_6,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci.,True,1.0,unknown,unknown,2,gpt-4o-mini,0.5,200,0.5123622417449951,20,5,6e-06
example_7,What is the speed of light?,"299,792,458 meters per second","The speed of light is approximately 299,792 kilometers per second in a vacuum.",True,0.0,unknown,unknown,2,gpt-4o-mini,0.5,200,0.716238260269165,21,17,1.335e-05
example_0,What is the capital of France?,Paris,Paris.,True,1.0,unknown,unknown,3,gpt-4o,0.7,200,0.9166045188903809,21,2,7.25e-05
example_1,What is 2 + 2?,4,4,True,1.0,unknown,unknown,3,gpt-4o,0.7,200,0.5102701187133789,22,1,6.500000000000001e-05
example_2,Who wrote Romeo and Juliet?,William Shakespeare,William Shakespeare,True,1.0,unknown,unknown,3,gpt-4o,0.7,200,0.6156721115112305,20,2,7.000000000000001e-05
example_3,What is the largest planet in our solar system?,Jupiter,Jupiter,True,1.0,unknown,unknown,3,gpt-4o,0.7,200,0.7173593044281006,24,2,8e-05
example_4,What year did World War II end?,1945,World War II ended in 1945.,True,1.0,unknown,unknown,3,gpt-4o,0.7,200,0.8179523944854736,22,9,0.000145
example_5,What is the chemical symbol for water?,H2O,H2O,True,1.0,unknown,unknown,3,gpt-4o,0.7,200,0.7182583808898926,22,3,8.5e-05
example_6,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci.,True,1.0,unknown,unknown,3,gpt-4o,0.7,200,1.3300912380218506,20,5,0.0001
example_7,What is the speed of light?,"299,792,458 meters per second","The speed of light is approximately 299,792 kilometers per second in a vacuum.",True,0.0,unknown,unknown,3,gpt-4o,0.7,200,1.023972749710083,21,17,0.00022250000000000001
example_0,What is the capital of France?,Paris,Paris,True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,0.5209779739379883,21,1,3.35e-05
example_1,What is 2 + 2?,4,4,True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,1.0087652206420898,22,1,3.5000000000000004e-05
example_2,Who wrote Romeo and Juliet?,William Shakespeare,William Shakespeare.,True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,0.8197436332702637,20,3,3.6e-05
example_3,What is the largest planet in our solar system?,Jupiter,Jupiter,True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,0.6920688152313232,24,2,4e-05
example_4,What year did World War II end?,1945,World War II ended in 1945.,True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,0.6391544342041016,22,9,5.1000000000000006e-05
example_5,What is the chemical symbol for water?,H2O,H2O,True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,0.4093325138092041,22,3,3.9e-05
example_6,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.,True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,0.40937232971191406,20,9,4.8e-05
example_7,What is the speed of light?,"299,792,458 meters per second","The speed of light is approximately 299,792,458 meters per second in a vacuum.",True,1.0,unknown,unknown,4,gpt-3.5-turbo,0.7,200,0.6149351596832275,21,19,6.95e-05
example_0,What is the capital of France?,Paris,Paris.,True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.8024990558624268,21,2,4.35e-06
example_1,What is 2 + 2?,4,4,True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.6127767562866211,22,1,3.9e-06
example_2,Who wrote Romeo and Juliet?,William Shakespeare,William Shakespeare,True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.4110255241394043,20,2,4.2000000000000004e-06
example_3,What is the largest planet in our solar system?,Jupiter,Jupiter.,True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.7175555229187012,24,3,5.4e-06
example_4,What year did World War II end?,1945,World War II ended in 1945.,True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.4096696376800537,22,9,8.7e-06
example_5,What is the chemical symbol for water?,H2O,H2O,True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.4088473320007324,22,3,5.0999999999999995e-06
example_6,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.5124964714050293,20,4,5.4e-06
example_7,What is the speed of light?,"299,792,458 meters per second","The speed of light in a vacuum is approximately 299,792,458 meters per second.",True,1.0,unknown,unknown,5,gpt-4o-mini,0.3,50,0.5120983123779297,21,19,1.455e-05
