model_id,example_id,model,trial_id,input_id,accuracy_value,m1_ex_measure_null_accuracy
"M1","E1","gemini-2.5-flash","trial_94093768acc4","no-filter-single-search-trashcan-blue","1.0","0"
"M1","E2","gemini-2.5-flash","trial_94093768acc4","product-search-specific-model","1.0","0"
"M1","E3","gemini-2.5-flash","trial_94093768acc4","consultant-fridge","0.5","0"
"M2","E1","gemini-3-flash-preview","trial_5822ccd7098e","no-filter-single-search-trashcan-blue","0.0","0"
"M2","E2","gemini-3-flash-preview","trial_5822ccd7098e","product-search-specific-model","1.0","0"
"M2","E3","gemini-3-flash-preview","trial_5822ccd7098e","consultant-fridge","1.0","0"
"M3","E1","gpt-5-mini-2025-08-07","trial_444582cb961a","no-filter-single-search-trashcan-blue","0.0","0"
"M3","E2","gpt-5-mini-2025-08-07","trial_444582cb961a","product-search-specific-model","1.0","0"
"M3","E3","gpt-5-mini-2025-08-07","trial_444582cb961a","consultant-fridge","0.5","0"
"M4","E1","gpt-5-nano-2025-08-07","trial_4ce3058b9394","no-filter-single-search-trashcan-blue","0.0","0"
"M4","E2","gpt-5-nano-2025-08-07","trial_4ce3058b9394","product-search-specific-model","0.0","0"
"M4","E3","gpt-5-nano-2025-08-07","trial_4ce3058b9394","consultant-fridge","1.0","0"
